Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C5368775,2.54mm-2P ZZ,SHOU HAN,"Through Hole,P=2.5mm",,Connector Header 2 position 2.5mm Pitch 3A Through Hole -25℃~+85℃,yes,50,50,50,0.0086,0.43,https://www.lcsc.com/product-detail/C5368775.html
2,C84931,B3F-4055,OMRON,"Through Hole-4P,12x12mm",,Tactile Switch SPST 7.3mm 12mm x 12mm Through Hole,yes,5,5,5,0.1302,0.65,https://www.lcsc.com/product-detail/C84931.html
3,C51315010,2N7002,CBI,SOT-23,,"200mW 60V 115mA 1V 7.5Ω@10V 1 N-channel N-Channel SOT-23 Single FETs, MOSFETs RoHS",yes,50,50,50,0.0071,0.36,https://www.lcsc.com/product-detail/C51315010.html
4,C119202,MF1/8W-10KΩ±1% T,CCO(Chian Chia Elec),"Through Hole,D1.8xL3.2mm",,"10kΩ 125mW 150V Metal Film Resistor ±100ppm/℃ ±1% Through Hole,D1.8xL3.2mm Through Hole Resistors RoHS",yes,50,50,50,0.0104,0.52,https://www.lcsc.com/product-detail/C119202.html
5,C49678,CC0805KRX7R9BB104,YAGEO,0805,,100nF ±10% 50V Ceramic Capacitor X7R 0805,yes,100,100,100,0.0084,0.84,https://www.lcsc.com/product-detail/C49678.html
