No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	3D Model Title	JLCPCB Price	LCSC Price	Primary Category	Secondary Category	Device
1	4	100nF	C1,C2,C3,C4	C1812	100nF	SMDTC03100KB00KP00	WIMA	C19855121	LCSC	C1812_L4.5-W3.2-H2.6	0.136		Capacitors	Film Capacitors	SMDTC03100KB00KP00
2	1	2.54mm-2P ZZ	CN1	CONN-TH_2.54MM-2P-ZZ		2.54mm-2P ZZ	SHOU HAN(首韩)	C5368775	LCSC		0.0013		Connectors	Wire To Board Connector	2.54mm-2P ZZ
3	1	排母2.54mm2*5p 直	H1	HDR-TH_10P-P2.54-V-F-R2-C5-S2.54		排母2.54mm2*5p 直	BOOMELE(博穆精密)	C30419	LCSC	HDR2.54-F-LI-2X5P	0.0097		Connectors	Female Headers	排母2.54mm2*5p 直
4	1	B3F-4055	KEY1	KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH		B3F-4055	OMRON(欧姆龙)	C84931	LCSC	KEY-TH_4P-L12.0-W12.0-H7.5-LS12.5-P5.0	0.0207		Switches	Tactile Switches	B3F-4055_C84931
5	4	WS2812B-V5	LED1,LED2,LED3,LED4	LED-SMD_4P-L5.0-W5.0-LS5.4-TL-1		WS2812B-V5	worldsemi	C2846931	LCSC	LED-SMD_4P-L5.0-W5.0-LS5.4-TL-1	0.0143		Optoelectronics	RGB LEDs(Built-in IC)	WS2812B-V5_C2846931
6	1	2N7002	Q1	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		2N7002	CBI(创基)	C51315010	LCSC	SOT-23-3P_L2.9-W1.3-H1.0-LS2.4-P0.95	0.0011		Transistors/Thyristors	MOSFETs	2N7002_C51315010
7	2	10kΩ	R1,R2	RES-TH_BD1.8-L3.2-P7.20-D0.4	10kΩ	MF1/8W-10KΩ±1% T	CCO(千志电子)	C119202	LCSC	RES-TH_BD1.8-L3.2-P7.20-D0.4	0.0016		Resistors	Through Hole Resistors	MF1/8W-10KΩ±1% T
